pcm,en
"Mixed Martial Arts joinbodi, Ultimate Fighting Championship, UFC don decide say dem go enta back di octagon on Saturday, 9 May, for Jacksonville, Florida.","The Association of Mixed Martial Arts, Ultimate Fighting Championshiop, UFC has decided it will re-enter the Octagon on Saturday, 9 May, at Jacksonville, Florida"
Di Florida State Commission say dem dey collabo with di UFC to make sure say health and safety protocols dey ground to ensure say evri pesin wey attend di event day safe.,The Florida State Commission said it is in collaboration with the UFC to ensure health and safety protocols are available to ensure that everyone who attended the event is safe
UFC presido Dana White tok for press release say im no fit wait to bring beta matches dem give di fans.,"The UFC President, Dana White said in a press release that he could not wait to bring better matches to the fans"
Di matches no go get any fans for inside di stadium and infact na only essential staff dem go dey di area wey dem go fight di matches.,"The matches will not have any fans in the stadium, infact only essential staffs will be in the area where the fight will take place."
Di mayor of Jacksonville Mayor Lenny Curry say di joinbodi give am safe plan to do dia waka.,"The Mayor of Jacksonville, Major Lenny Curry said the association gave him a safe plan to their movement"
"So far, di UFC don schedule three match for May 9, 13 and 16 for dia UFC 249 fighting.","So far, the UFC has scheduled three matches for May 9, 13 and 16 for their UFC 249 fights"
"On di first day, di number one lightweight fighter Tony Ferguson go face number four Justin Gaethje, for di UFC banterweight Championship wia Henry Cejudo dey look to flog multiple-time title holder Dominick Cruz.","On the first day, the number one lightweight fighter Tony Ferguson will face the number four Justin Gaethje, for the UFC banterweight Championship that Henry Cejudo looks forward to beating multiple-time title holder Dominick Cruz."
Di return of di UFC dey come even as football matches for Europe and oda parts of di world dey consider to return.,The return of the UFC is approaching even as football matches in Europe and other parts of the world is considering to return
"German league, Bundesliga say dem go restart matches for 16 May and for South Korea live league football games don already start.","The German League, Bundesliga said it would restart maches from 16 May and the South Korea live league football games has started already."
Di return of German football Bundesliga competition dey currently under discussion for one news conference wey di governing body dey hold.,The return of German Football Bundesliga Competition is under discussion in a news conference the governing body is holding
"Christian Seifert, di CEO of di kontri football league (DFL), don express hope say di league dey ready to return on 9 May and dem go play di games behind closed doors, although Im add am say dem go need di approval from politicians.","Christain Seifert, the CEO of the Country Football League (DFL), has expresed his hope that the league is ready to return by 9 May and the games will be played behind closed doors, although he added that approvals from politicians will be needed."
He tok: Games without spectators no be wetin we want but at di moment na di only thing we fit do be that.,He said: Gamews without spectators is not what we want but at the moment that is the only thing that could be done  
"Cooking burns, dog bites na some of di injury dem wey some Manchester United players don get during di coronavirus lockdown.","Cooking burns, dog bites are some of  the injuries that some Machester United players had during the corona virus lockdown "
Ole Gunnar Solskjaer team dey train for dia house as football dey suspended sake of coronavirus pandemic.,Ole Gunnar Solskjaer team trains at their homes as football is suspended because of corona virus pandemic   
